521	-905	512	-334	-616	-391
28	-912	-821	686	-160	651
-456	34	-281	-949	-357	-750
-919	442	-787	392	573	-837
114	833	718	768	240	-593
615	-519	433	41	441	-724
330	-664	679	11	87	774
333	-93	182	-678	-866	-197
246	296	-268	567	-619	147
-388	215	-187	-805	593	722
-460	476	-145	-292	-160	-366
-93	-267	-90	-788	-499	-162
196	-691	-927	-543	-866	-384
469	217	89	56	238	542
-767	-729	332	756	-924	-508
186	389	659	454	354	-284
619	485	-169	867	-71	-198
291	-531	173	37	497	318
10	674	-199	394	-371	46
-154	709	299	-604	-162	-694
